2021 - Marzo | Nacional | 458.022133 | 333.885057
2021 - Abril | Nacional | 565.553700 | 328.442514
2021 - Abril | Nacional | 443.610683 | 315.966557
2021 - Abril | Nacional | 517.608150 | 336.670371
2021 - Abril | Nacional | 537.608633 | 276.467171
2021 - Abril | Nacional | 474.662083 | 251.741729
2021 - Mayo | Nacional | 583.149783 | 269.019700
2021 - Mayo | Nacional | 451.087500 | 334.048629
2021 - Mayo | Nacional | 534.552167 | 330.094929
2021 - Mayo | Nacional | 550.011783 | 320.634000
2021 - Mayo | Nacional | 487.599250 | 343.104343
2021 - Junio | Nacional | 602.070150 | 284.468271
2021 - Junio | Nacional | 476.460700 | 257.421500
2021 - Junio | Nacional | 551.442667 | 274.573471
2021 - Junio | Nacional | 568.205750 | 337.926471
2021 - Junio | Nacional | 497.625133 | 339.088843
2021 - Julio | Nacional | 622.213300 | 325.825314
2021 - Julio | Nacional | 489.837083 | 372.151043
2021 - Julio | Nacional | 562.911217 | 291.627171
2021 - Julio | Nacional | 584.094650 | 300.367686
2021 - Julio | Nacional | 511.729183 | 281.601671
2021 - Agosto | Nacional | 632.933633 | 338.089700
2021 - Agosto | Nacional | 500.518467 | 344.766157
2021 - Agosto | Nacional | 581.795317 | 328.956829
2021 - Agosto | Nacional | 604.204600 | 356.086586
2021 - Agosto | Nacional | 528.602250 | 298.296200
2021 - Mayo | Nacional | 650.718300 | 299.203300
2021 - Mayo | Nacional | 529.090733 | 286.049386
2021 - Mayo | Nacional | 614.534750 | 338.603129
2021 - Mayo | Nacional | 623.759583 | 349.478486
2021 - Mayo | Nacional | 542.385617 | 332.880743
2021 - Octubre | Nacional | 671.702850 | 357.081400
2021 - Octubre | Nacional | 541.977017 | 308.395014
2021 - Octubre | Nacional | 643.725933 | 299.268900
2021 - Octubre | Nacional | 641.198833 | 290.492457
2021 - Octubre | Nacional | 559.098200 | 342.078386
2021 - Noviembre | Nacional | 686.994767 | 357.446500
2021 - Noviembre | Nacional | 549.258400 | 337.904514
2021 - Noviembre | Nacional | 667.744267 | 358.429714
2021 - Noviembre | Nacional | 658.576350 | 317.619500
2021 - Noviembre | Nacional | 571.428450 | 300.967443
2021 - Diciembre | Nacional | 717.170017 | 296.971814
2021 - Diciembre | Nacional | 578.824617 | 345.914586
2021 - Diciembre | Nacional | 700.568583 | 366.119314
2021 - Diciembre | Nacional | 680.122433 | 344.451514
2021 - Diciembre | Nacional | 589.666050 | 360.749629
2022 - Enero | Nacional | 749.922783 | 329.114986
2022 - Enero | Nacional | 589.151433 | 302.000086
2022 - Enero | Nacional | 719.325400 | 303.243829
2022 - Enero | Nacional | 701.992967 | 353.659129
2022 - Enero | Nacional | 613.008267 | 375.377114
2022 - Febrero | Nacional | 802.161283 | 355.009229
2022 - Febrero | Nacional | 605.950967 | 362.492343
2022 - Febrero | Nacional | 745.478450 | 339.580657
2022 - Febrero | Nacional | 732.549650 | 303.930771
2022 - Febrero | Nacional | 639.549683 | 308.623857
2022 - Marzo | Nacional | 866.082533 | 359.429900
2022 - Marzo | Nacional | 639.773033 | 389.573657
2022 - Marzo | Nacional | 814.006933 | 367.315871
2022 - Marzo | Nacional | 764.394267 | 363.477100
2022 - Marzo | Nacional | 675.165433 | 346.067314
2022 - Abril | Nacional | 918.504117 | 304.666143
2022 - Abril | Nacional | 659.893250 | 313.460543
2022 - Abril | Nacional | 893.006000 | 367.888557
2022 - Abril | Nacional | 805.832517 | 402.584186
2022 - Abril | Nacional | 711.853617 | 382.132857
2022 - Mayo | Nacional | 700.203983 | 354.725900
2022 - Mayo | Nacional | 946.508583 | 305.177457
2022 - Mayo | Nacional | 847.634767 | 323.484414
2022 - Mayo | Nacional | 745.928433 | 376.385657
2022 - Junio | Nacional | 1003.203300 | 417.956343
2022 - Junio | Nacional | 1001.130000 | 363.377157
2022 - Junio | Nacional | 896.781367 | 370.669571
2022 - Junio | Nacional | 783.687950 | 306.721543
2022 - Julio | Nacional | 1065.138567 | 333.378543
2022 - Julio | Nacional | 790.963617 | 384.956843
2022 - Julio | Nacional | 1094.298367 | 437.987929
2022 - Julio | Nacional | 989.321183 | 414.766143
2022 - Julio | Nacional | 846.822083 | 363.657871
2022 - Agosto | Nacional | 1141.415550 | 385.770071
2022 - Agosto | Nacional | 845.121650 | 306.886414
2022 - Agosto | Nacional | 1201.067033 | 348.258000
2022 - Agosto | Nacional | 1070.841533 | 393.166086
2022 - Agosto | Nacional | 919.608517 | 453.766371
2022 - Mayo | Nacional | 1215.893583 | 438.155457
2022 - Mayo | Nacional | 925.611417 | 417.333700
2022 - Mayo | Nacional | 1325.233550 | 403.134986
2022 - Mayo | Nacional | 1135.810217 | 309.108871
2022 - Mayo | Nacional | 981.103083 | 367.341243
2022 - Octubre | Nacional | 1290.320467 | 401.878471
2022 - Octubre | Nacional | 974.474550 | 472.041100
2022 - Octubre | Nacional | 1416.686383 | 459.156300
2022 - Octubre | Nacional | 1195.659900 | 425.915114
2022 - Octubre | Nacional | 1047.081083 | 412.982314
2022 - Noviembre | Nacional | 1337.490233 | 310.040529
2022 - Noviembre | Nacional | 1037.354850 | 386.431143
2022 - Noviembre | Nacional | 1481.068967 | 408.623900
2022 - Noviembre | Nacional | 1258.269600 | 489.521714
2022 - Noviembre | Nacional | 1108.490217 | 479.113757
2022 - Diciembre | Nacional | 1390.151367 | 428.197157
2022 - Diciembre | Nacional | 1112.949317 | 431.988657
2022 - Diciembre | Nacional | 1542.634083 | 389.620529
2022 - Diciembre | Nacional | 1331.488483 | 400.729629
2022 - Diciembre | Nacional | 1170.455167 | 423.686857
2023 - Enero | Nacional | 1484.119050 | 507.622000
2023 - Enero | Nacional | 1193.381517 | 506.628929
2023 - Enero | Nacional | 1351.281883 | 368.163571
2023 - Enero | Nacional | 1408.084167 | 440.347200
2023 - Enero | Nacional | 1250.148650 | 398.763643
2023 - Febrero | Nacional | 1629.039933 | 417.008871
2023 - Febrero | Nacional | 1256.402000 | 430.676914
2023 - Febrero | Nacional | 1647.015917 | 530.790029
2023 - Febrero | Nacional | 1484.190533 | 536.341771
2023 - Febrero | Nacional | 1326.296767 | 434.649229
2023 - Marzo | Nacional | 1772.242067 | 453.378429
2023 - Marzo | Nacional | 1362.941983 | 407.068571
2023 - Marzo | Nacional | 1781.097983 | 432.475843
2023 - Marzo | Nacional | 1568.445467 | 442.031714
2023 - Marzo | Nacional | 1406.635750 | 550.050971
2023 - Abril | Nacional | 1943.706117 | 553.832286
2023 - Abril | Nacional | 1415.064217 | 465.491686
2023 - Abril | Nacional | 1962.803967 | 464.507243
2023 - Abril | Nacional | 1702.600517 | 411.360214
2023 - Abril | Nacional | 1495.197417 | 445.891700
2023 - Mayo | Nacional | 2065.759383 | 452.804829
2023 - Mayo | Nacional | 1536.161550 | 572.917729
2023 - Mayo | Nacional | 2107.161383 | 567.870157
2023 - Mayo | Nacional | 1852.009283 | 468.172229
2023 - Mayo | Nacional | 1603.929483 | 479.360014
2023 - Junio | Nacional | 2162.879200 | 418.813386
2023 - Junio | Nacional | 1605.764883 | 466.639914
2023 - Junio | Nacional | 2201.966467 | 457.366586
2023 - Junio | Nacional | 1994.479733 | 595.398414
2023 - Junio | Nacional | 1711.419950 | 583.308700
2023 - Julio | Nacional | 2287.896333 | 467.484229
2023 - Julio | Nacional | 1752.335033 | 496.460786
2023 - Julio | Nacional | 2281.742083 | 433.795271
2023 - Julio | Nacional | 2126.961117 | 480.184957
2023 - Julio | Nacional | 1822.177783 | 467.541886
2023 - Agosto | Nacional | 2652.797100 | 618.753971
2023 - Agosto | Nacional | 1912.884917 | 598.571200
2023 - Agosto | Nacional | 2500.137433 | 479.420229
2023 - Agosto | Nacional | 2428.762250 | 515.136900
2023 - Agosto | Nacional | 2000.649900 | 445.218000
2023 - Mayo | Nacional | 3050.561000 | 498.115429
2023 - Mayo | Nacional | 2137.979850 | 479.127157
2023 - Mayo | Nacional | 2876.176867 | 644.255629
2023 - Mayo | Nacional | 2750.238183 | 617.515471
2023 - Mayo | Nacional | 2229.826717 | 484.316643
2023 - Octubre | Nacional | 3269.746933 | 534.191000
2023 - Octubre | Nacional | 2340.966050 | 451.723814
2023 - Octubre | Nacional | 3179.006783 | 517.513900
2023 - Octubre | Nacional | 3036.379183 | 489.902614
2023 - Octubre | Nacional | 2407.177617 | 662.229271
2023 - Noviembre | Nacional | 3755.577300 | 634.186886
2023 - Noviembre | Nacional | 2612.574450 | 488.232157
2023 - Noviembre | Nacional | 3510.156500 | 543.208643
2023 - Noviembre | Nacional | 3424.313000 | 455.321300
2023 - Noviembre | Nacional | 2689.022233 | 540.385986
2023 - Diciembre | Nacional | 4868.279817 | 498.893786
2023 - Diciembre | Nacional | 3133.942633 | 666.501914
2023 - Diciembre | Nacional | 4100.965367 | 660.577514
2023 - Diciembre | Nacional | 4449.595583 | 498.153529
2023 - Diciembre | Nacional | 3575.639800 | 562.957943
2024 - Enero | Nacional | 5890.267733 | 458.528271
2024 - Enero | Nacional | 3789.685867 | 575.013671
2024 - Enero | Nacional | 4611.463150 | 511.075257
2024 - Enero | Nacional | 5495.218483 | 691.358257
2024 - Enero | Nacional | 5227.334833 | 680.346071
2024 - Febrero | Nacional | 6532.024383 | 533.631829
2024 - Febrero | Nacional | 4441.292333 | 585.269700
2024 - Febrero | Nacional | 4978.640433 | 462.096600
2024 - Febrero | Nacional | 6057.467667 | 609.830571
2024 - Febrero | Nacional | 6161.266233 | 524.654314
2024 - Marzo | Nacional | 7177.327817 | 719.412843
2024 - Marzo | Nacional | 4980.619117 | 716.905900
2024 - Marzo | Nacional | 5449.158133 | 542.039329
2024 - Marzo | Nacional | 6339.831500 | 603.524914
2024 - Marzo | Nacional | 6726.731833 | 477.816729
2024 - Abril | Nacional | 7604.356167 | 641.227171
2024 - Abril | Nacional | 5263.402000 | 568.385443
2024 - Abril | Nacional | 5949.657500 | 754.028929
2024 - Abril | Nacional | 6752.730000 | 759.628586
2024 - Abril | Nacional | 7126.898333 | 560.908486
2024 - Mayo | Nacional | 7939.432000 | 624.252429
2024 - Mayo | Nacional | 5593.709667 | 594.068714
2024 - Mayo | Nacional | 6182.219833 | 675.074700
2024 - Mayo | Nacional | 6969.409500 | 595.457786
2024 - Mayo | Nacional | 7406.340500 | 801.230614
2024 - Junio | Nacional | 8210.105333 | 797.778700
2024 - Junio | Nacional | 5707.592333 | 580.552114
2024 - Junio | Nacional | 6377.158500 | 654.462643
2024 - Junio | Nacional | 7133.158833 | 615.909186
2024 - Junio | Nacional | 7582.184833 | 724.168143
2024 - Julio | Nacional | 8451.075000 | 620.679657
2024 - Julio | Nacional | 6045.895667 | 851.214386
2024 - Julio | Nacional | 6528.810833 | 845.780029
2024 - Julio | Nacional | 7381.406500 | 599.501871
2024 - Julio | Nacional | 7861.634000 | 689.469529
2024 - Agosto | Nacional | 8817.397000 | 633.470257
2024 - Agosto | Nacional | 6226.414833 | 766.407429
2024 - Agosto | Nacional | 6685.380500 | 660.524971
2024 - Agosto | Nacional | 7694.803000 | 912.386171
2024 - Agosto | Nacional | 8021.112500 | 890.029529
2024 - Mayo | Nacional | 9022.046000 | 603.514500
2024 - Mayo | Nacional | 6345.028667 | 716.898200
2024 - Mayo | Nacional | 7047.799667 | 645.173657
2024 - Mayo | Nacional | 7904.310167 | 814.506371
2024 - Mayo | Nacional | 8286.201333 | 692.533143
2024 - Octubre | Nacional | 9113.115500 | 972.553300
2024 - Octubre | Nacional | 6512.509833 | 943.003714
2024 - Octubre | Nacional | 7366.499833 | 639.824757
