08 | Comunicaci n  | Nivel general y divisiones COICOP | 184.712 | 1.4 | 48.3 | GBA | 2018 - Mayo
09 | Recreaci n y cultura  | Nivel general y divisiones COICOP | 159.1452 | 8.1 | 32.6 | GBA | 2018 - Mayo
10 | Educaci n  | Nivel general y divisiones COICOP | 165.0215 | 2.2 | 28.6 | GBA | 2018 - Mayo
11 | Restaurantes y hoteles  | Nivel general y divisiones COICOP | 157.6511 | 6.3 | 35.3 | GBA | 2018 - Mayo
04 | Vivienda agua electricidad gas y otros combustibles  | Nivel general y divisiones COICOP | 206.9187 | 7.1 | 60.5 | GBA | 2018 - Octubre
06 | Salud  | Nivel general y divisiones COICOP | 173.6915 | 5.8 | 42.2 | GBA | 2018 - Octubre
07 | Transporte  | Nivel general y divisiones COICOP | 185.6149 | 7.1 | 67 | GBA | 2018 - Octubre
08 | Comunicaci n  | Nivel general y divisiones COICOP | 185.1122 | 0.2 | 41.9 | GBA | 2018 - Octubre
09 | Recreaci n y cultura  | Nivel general y divisiones COICOP | 162.6265 | 2.2 | 34.8 | GBA | 2018 - Octubre
10 | Educaci n  | Nivel general y divisiones COICOP | 169.7671 | 2.9 | 31.3 | GBA | 2018 - Octubre
11 | Restaurantes y hoteles  | Nivel general y divisiones COICOP | 161.7351 | 2.6 | 36.5 | GBA | 2018 - Octubre
04 | Vivienda agua electricidad gas y otros combustibles  | Nivel general y divisiones COICOP | 208.9736 | 1 | 60.6 | GBA | 2018 - Noviembre
06 | Salud  | Nivel general y divisiones COICOP | 179.6549 | 3.4 | 45.4 | GBA | 2018 - Noviembre
07 | Transporte  | Nivel general y divisiones COICOP | 191.1071 | 3 | 67.4 | GBA | 2018 - Noviembre
08 | Comunicaci n  | Nivel general y divisiones COICOP | 193.5709 | 4.6 | 47.6 | GBA | 2018 - Noviembre
09 | Recreaci n y cultura  | Nivel general y divisiones COICOP | 169.4774 | 4.2 | 40.4 | GBA | 2018 - Noviembre
10 | Educaci n  | Nivel general y divisiones COICOP | 171.616 | 1.1 | 32.2 | GBA | 2018 - Noviembre
11 | Restaurantes y hoteles  | Nivel general y divisiones COICOP | 166.2958 | 2.8 | 38 | GBA | 2018 - Noviembre
04 | Vivienda agua electricidad gas y otros combustibles  | Nivel general y divisiones COICOP | 218.8376 | 4.7 | 41.4 | GBA | 2018 - Diciembre
06 | Salud  | Nivel general y divisiones COICOP | 190.5132 | 6 | 49.8 | GBA | 2018 - Diciembre
07 | Transporte  | Nivel general y divisiones COICOP | 197.0384 | 3.1 | 67.7 | GBA | 2018 - Diciembre
08 | Comunicaci n  | Nivel general y divisiones COICOP | 206.5853 | 6.7 | 54 | GBA | 2018 - Diciembre
09 | Recreaci n y cultura  | Nivel general y divisiones COICOP | 173.7047 | 2.5 | 43 | GBA | 2018 - Diciembre
10 | Educaci n  | Nivel general y divisiones COICOP | 175.1903 | 2.1 | 35 | GBA | 2018 - Diciembre
11 | Restaurantes y hoteles  | Nivel general y divisiones COICOP | 170.1262 | 2.3 | 38.7 | GBA | 2018 - Diciembre
04 | Vivienda agua electricidad gas y otros combustibles  | Nivel general y divisiones COICOP | 221.858 | 1.4 | 45.7 | GBA | 2015 - Enero
06 | Salud  | Nivel general y divisiones COICOP | 194.6462 | 2.2 | 50.3 | GBA | 2015 - Enero
07 | Transporte  | Nivel general y divisiones COICOP | 203.4532 | 3.3 | 69.6 | GBA | 2015 - Enero
08 | Comunicaci n  | Nivel general y divisiones COICOP | 223.5279 | 8.2 | 63.5 | GBA | 2015 - Enero
09 | Recreaci n y cultura  | Nivel general y divisiones COICOP | 179.1848 | 3.2 | 42 | GBA | 2015 - Enero
10 | Educaci n  | Nivel general y divisiones COICOP | 175.7777 | 0.3 | 35.3 | GBA | 2015 - Enero
11 | Restaurantes y hoteles  | Nivel general y divisiones COICOP | 175.7302 | 3.3 | 38.8 | GBA | 2015 - Enero
04 | Vivienda agua electricidad gas y otros combustibles  | Nivel general y divisiones COICOP | 237.6627 | 7.1 | 48.7 | GBA | 2015 - Febrero
06 | Salud  | Nivel general y divisiones COICOP | 201.7245 | 3.6 | 51.6 | GBA | 2015 - Febrero
07 | Transporte  | Nivel general y divisiones COICOP | 208.7417 | 2.6 | 66.5 | GBA | 2015 - Febrero
08 | Comunicaci n  | Nivel general y divisiones COICOP | 226.7862 | 1.5 | 54.1 | GBA | 2015 - Febrero
09 | Recreaci n y cultura  | Nivel general y divisiones COICOP | 183.6484 | 2.5 | 45.1 | GBA | 2015 - Febrero
10 | Educaci n  | Nivel general y divisiones COICOP | 179.2309 | 2 | 36 | GBA | 2015 - Febrero
11 | Restaurantes y hoteles  | Nivel general y divisiones COICOP | 182.0486 | 3.6 | 41.2 | GBA | 2015 - Febrero
04 | Vivienda agua electricidad gas y otros combustibles  | Nivel general y divisiones COICOP | 246.3054 | 3.6 | 52.6 | GBA | 2015 - Marzo
06 | Salud  | Nivel general y divisiones COICOP | 207.4407 | 2.8 | 54.4 | GBA | 2015 - Marzo
07 | Transporte  | Nivel general y divisiones COICOP | 217.7008 | 4.3 | 71.3 | GBA | 2015 - Marzo
08 | Comunicaci n  | Nivel general y divisiones COICOP | 236.2025 | 4.2 | 56.9 | GBA | 2015 - Marzo
09 | Recreaci n y cultura  | Nivel general y divisiones COICOP | 185.2328 | 0.9 | 44.6 | GBA | 2015 - Marzo
10 | Educaci n  | Nivel general y divisiones COICOP | 210.87 | 17.7 | 39.5 | GBA | 2015 - Marzo
11 | Restaurantes y hoteles  | Nivel general y divisiones COICOP | 189.6348 | 4.2 | 45.1 | GBA | 2015 - Marzo
04 | Vivienda agua electricidad gas y otros combustibles  | Nivel general y divisiones COICOP | 254.7437 | 3.4 | 47.9 | GBA | 2015 - Abril
06 | Salud  | Nivel general y divisiones COICOP | 213.8031 | 3.1 | 56.8 | GBA | 2015 - Abril
07 | Transporte  | Nivel general y divisiones COICOP | 226.1383 | 3.9 | 69.1 | GBA | 2015 - Abril
08 | Comunicaci n  | Nivel general y divisiones COICOP | 243.883 | 3.3 | 60.9 | GBA | 2015 - Abril
09 | Recreaci n y cultura  | Nivel general y divisiones COICOP | 191.4187 | 3.3 | 46.3 | GBA | 2015 - Abril
10 | Educaci n  | Nivel general y divisiones COICOP | 213.02 | 1 | 40.1 | GBA | 2015 - Abril
11 | Restaurantes y hoteles  | Nivel general y divisiones COICOP | 197.2612 | 4 | 47.7 | GBA | 2015 - Abril
04 | Vivienda agua electricidad gas y otros combustibles  | Nivel general y divisiones COICOP | 263.5952 | 3.5 | 55.1 | GBA | 2015 - Mayo
06 | Salud  | Nivel general y divisiones COICOP | 225.6527 | 5.5 | 61.8 | GBA | 2015 - Mayo
07 | Transporte  | Nivel general y divisiones COICOP | 232.7179 | 2.9 | 70.6 | GBA | 2015 - Mayo
08 | Comunicaci n  | Nivel general y divisiones COICOP | 246.7191 | 1.2 | 57.1 | GBA | 2015 - Mayo
09 | Recreaci n y cultura  | Nivel general y divisiones COICOP | 196.6069 | 2.7 | 47.4 | GBA | 2015 - Mayo
10 | Educaci n  | Nivel general y divisiones COICOP | 224.273 | 5.3 | 47 | GBA | 2015 - Mayo
11 | Restaurantes y hoteles  | Nivel general y divisiones COICOP | 201.3577 | 2.1 | 47.7 | GBA | 2015 - Mayo
04 | Vivienda agua electricidad gas y otros combustibles  | Nivel general y divisiones COICOP | 270.5535 | 2.6 | 53.2 | GBA | 2015 - Junio
06 | Salud  | Nivel general y divisiones COICOP | 231.8228 | 2.7 | 58.6 | GBA | 2015 - Junio
