04 | Vivienda, agua, electricidad, gas y otros combustibles | Nivel general y divisiones COICOP | 100 | NA | NA | GBA | Diciembre - 2016
04 | Vivienda, agua, electricidad, gas y otros combustibles | Nivel general y divisiones COICOP | 110.7756 | 2.2 | NA | GBA | Marzo - 2017
04 | Vivienda, agua, electricidad, gas y otros combustibles | Nivel general y divisiones COICOP | 107.7477 | 3 | NA | Pampeana | Marzo - 2017
04 | Vivienda, agua, electricidad, gas y otros combustibles | Nivel general y divisiones COICOP | 113.2471 | 8.9 | NA | Noreste | Marzo - 2017
04 | Vivienda, agua, electricidad, gas y otros combustibles | Nivel general y divisiones COICOP | 121.3727 | 12.7 | NA | Noroeste | Marzo - 2017
04 | Vivienda, agua, electricidad, gas y otros combustibles | Nivel general y divisiones COICOP | 111.8642 | 4.8 | NA | Cuyo | Marzo - 2017
04 | Vivienda, agua, electricidad, gas y otros combustibles | Nivel general y divisiones COICOP | 115.3729 | 3 | NA | Patagonia | Marzo - 2017
06 | Salud | Nivel general y divisiones COICOP | 106.6572 | 1.9 | NA | GBA | Marzo - 2017
06 | Salud | Nivel general y divisiones COICOP | 107.4786 | 1.9 | NA | Pampeana | Marzo - 2017
06 | Salud | Nivel general y divisiones COICOP | 107.6407 | 2.3 | NA | Noreste | Marzo - 2017
06 | Salud | Nivel general y divisiones COICOP | 107.044 | 2.8 | NA | Noroeste | Marzo - 2017
06 | Salud | Nivel general y divisiones COICOP | 107.5537 | 2 | NA | Cuyo | Marzo - 2017
06 | Salud | Nivel general y divisiones COICOP | 108.7254 | 1.6 | NA | Patagonia | Marzo - 2017
07 | Transporte | Nivel general y divisiones COICOP | 104.5685 | 1 | NA | GBA | Marzo - 2017
07 | Transporte | Nivel general y divisiones COICOP | 105.7104 | 1.2 | NA | Pampeana | Marzo - 2017
07 | Transporte | Nivel general y divisiones COICOP | 102.3716 | 1.1 | NA | Noreste | Marzo - 2017
07 | Transporte | Nivel general y divisiones COICOP | 106.4422 | 0.8 | NA | Noroeste | Marzo - 2017
07 | Transporte | Nivel general y divisiones COICOP | 107.7578 | 2.6 | NA | Cuyo | Marzo - 2017
07 | Transporte | Nivel general y divisiones COICOP | 106.3107 | 1.8 | NA | Patagonia | Marzo - 2017
08 | Comunicación | Nivel general y divisiones COICOP | 110.6652 | 2.4 | NA | GBA | Marzo - 2017
08 | Comunicación | Nivel general y divisiones COICOP | 110.9914 | 4 | NA | Pampeana | Marzo - 2017
08 | Comunicación | Nivel general y divisiones COICOP | 110.7662 | 3.4 | NA | Noreste | Marzo - 2017
08 | Comunicación | Nivel general y divisiones COICOP | 113.163 | 5.7 | NA | Noroeste | Marzo - 2017
08 | Comunicación | Nivel general y divisiones COICOP | 108.0971 | 2.9 | NA | Cuyo | Marzo - 2017
08 | Comunicación | Nivel general y divisiones COICOP | 107.843 | 2 | NA | Patagonia | Marzo - 2017
09 | Recreación y cultura | Nivel general y divisiones COICOP | 104.8017 | 1.4 | NA | GBA | Marzo - 2017
09 | Recreación y cultura | Nivel general y divisiones COICOP | 106.5045 | 1.9 | NA | Pampeana | Marzo - 2017
09 | Recreación y cultura | Nivel general y divisiones COICOP | 105.7406 | 0.1 | NA | Noreste | Marzo - 2017
09 | Recreación y cultura | Nivel general y divisiones COICOP | 105.1461 | 1.6 | NA | Noroeste | Marzo - 2017
09 | Recreación y cultura | Nivel general y divisiones COICOP | 105.7508 | 2.6 | NA | Cuyo | Marzo - 2017
09 | Recreación y cultura | Nivel general y divisiones COICOP | 105.026 | 2.4 | NA | Patagonia | Marzo - 2017
10 | Educación | Nivel general y divisiones COICOP | 111.9338 | 6.7 | NA | GBA | Marzo - 2017
10 | Educación | Nivel general y divisiones COICOP | 114.7719 | 12.5 | NA | Pampeana | Marzo - 2017
10 | Educación | Nivel general y divisiones COICOP | 123.958 | 12.9 | NA | Noreste | Marzo - 2017
10 | Educación | Nivel general y divisiones COICOP | 130.753 | 27.1 | NA | Noroeste | Marzo - 2017
10 | Educación | Nivel general y divisiones COICOP | 112.7186 | 9.8 | NA | Cuyo | Marzo - 2017
10 | Educación | Nivel general y divisiones COICOP | 123.3177 | 15.6 | NA | Patagonia | Marzo - 2017
11 | Restaurantes y hoteles | Nivel general y divisiones COICOP | 106.1813 | 1 | NA | GBA | Marzo - 2017
11 | Restaurantes y hoteles | Nivel general y divisiones COICOP | 105.6069 | 1.1 | NA | Pampeana | Marzo - 2017
11 | Restaurantes y hoteles | Nivel general y divisiones COICOP | 110.4746 | 2 | NA | Noreste | Marzo - 2017
11 | Restaurantes y hoteles | Nivel general y divisiones COICOP | 105.0341 | 1.6 | NA | Noroeste | Marzo - 2017
11 | Restaurantes y hoteles | Nivel general y divisiones COICOP | 104.0537 | 0.2 | NA | Cuyo | Marzo - 2017
11 | Restaurantes y hoteles | Nivel general y divisiones COICOP | 105.4631 | -0.2 | NA | Patagonia | Marzo - 2017
04 | Vivienda, agua, electricidad, gas y otros combustibles | Nivel general y divisiones COICOP | 115.889 | 4.6 | NA | GBA | Abril - 2017
04 | Vivienda, agua, electricidad, gas y otros combustibles | Nivel general y divisiones COICOP | 115.7988 | 7.5 | NA | Pampeana | Abril - 2017
04 | Vivienda, agua, electricidad, gas y otros combustibles | Nivel general y divisiones COICOP | 116.5835 | 2.9 | NA | Noreste | Abril - 2017
04 | Vivienda, agua, electricidad, gas y otros combustibles | Nivel general y divisiones COICOP | 131.8395 | 8.6 | NA | Noroeste | Abril - 2017
04 | Vivienda, agua, electricidad, gas y otros combustibles | Nivel general y divisiones COICOP | 122.532 | 9.5 | NA | Cuyo | Abril - 2017
04 | Vivienda, agua, electricidad, gas y otros combustibles | Nivel general y divisiones COICOP | 119.3459 | 3.4 | NA | Patagonia | Abril - 2017
06 | Salud | Nivel general y divisiones COICOP | 108.1913 | 1.4 | NA | GBA | Abril - 2017
06 | Salud | Nivel general y divisiones COICOP | 109.6556 | 2 | NA | Pampeana | Abril - 2017
06 | Salud | Nivel general y divisiones COICOP | 110.3274 | 2.5 | NA | Noreste | Abril - 2017
06 | Salud | Nivel general y divisiones COICOP | 109.2143 | 2 | NA | Noroeste | Abril - 2017
06 | Salud | Nivel general y divisiones COICOP | 109.9679 | 2.2 | NA | Cuyo | Abril - 2017
06 | Salud | Nivel general y divisiones COICOP | 110.6841 | 1.8 | NA | Patagonia | Abril - 2017
07 | Transporte | Nivel general y divisiones COICOP | 105.0876 | 0.5 | NA | GBA | Abril - 2017
07 | Transporte | Nivel general y divisiones COICOP | 106.4751 | 0.7 | NA | Pampeana | Abril - 2017
07 | Transporte | Nivel general y divisiones COICOP | 102.8986 | 0.5 | NA | Noreste | Abril - 2017
07 | Transporte | Nivel general y divisiones COICOP | 106.9891 | 0.5 | NA | Noroeste | Abril - 2017
07 | Transporte | Nivel general y divisiones COICOP | 108.5852 | 0.8 | NA | Cuyo | Abril - 2017
07 | Transporte | Nivel general y divisiones COICOP | 107.5492 | 1.2 | NA | Patagonia | Abril - 2017
08 | Comunicación | Nivel general y divisiones COICOP | 118.2386 | 6.8 | NA | GBA | Abril - 2017
08 | Comunicación | Nivel general y divisiones COICOP | 118.1294 | 6.4 | NA | Pampeana | Abril - 2017
08 | Comunicación | Nivel general y divisiones COICOP | 120.0581 | 8.4 | NA | Noreste | Abril - 2017
08 | Comunicación | Nivel general y divisiones COICOP | 120.6617 | 6.6 | NA | Noroeste | Abril - 2017
08 | Comunicación | Nivel general y divisiones COICOP | 117.3494 | 8.6 | NA | Cuyo | Abril - 2017
08 | Comunicación | Nivel general y divisiones COICOP | 115.2587 | 6.9 | NA | Patagonia | Abril - 2017
09 | Recreación y cultura | Nivel general y divisiones COICOP | 108.3531 | 3.4 | NA | GBA | Abril - 2017
09 | Recreación y cultura | Nivel general y divisiones COICOP | 108.1603 | 1.6 | NA | Pampeana | Abril - 2017
09 | Recreación y cultura | Nivel general y divisiones COICOP | 109.1455 | 3.2 | NA | Noreste | Abril - 2017
09 | Recreación y cultura | Nivel general y divisiones COICOP | 107.7095 | 2.4 | NA | Noroeste | Abril - 2017
09 | Recreación y cultura | Nivel general y divisiones COICOP | 108.008 | 2.1 | NA | Cuyo | Abril - 2017
09 | Recreación y cultura | Nivel general y divisiones COICOP | 108.9559 | 3.7 | NA | Patagonia | Abril - 2017
10 | Educación | Nivel general y divisiones COICOP | 116.2786 | 3.9 | NA | GBA | Abril - 2017
10 | Educación | Nivel general y divisiones COICOP | 116.8585 | 1.8 | NA | Pampeana | Abril - 2017
10 | Educación | Nivel general y divisiones COICOP | 125.2085 | 1 | NA | Noreste | Abril - 2017
10 | Educación | Nivel general y divisiones COICOP | 131.7883 | 0.8 | NA | Noroeste | Abril - 2017
10 | Educación | Nivel general y divisiones COICOP | 123.0399 | 9.2 | NA | Cuyo | Abril - 2017
10 | Educación | Nivel general y divisiones COICOP | 123.6835 | 0.3 | NA | Patagonia | Abril - 2017
11 | Restaurantes y hoteles | Nivel general y divisiones COICOP | 108.3494 | 2 | NA | GBA | Abril - 2017
11 | Restaurantes y hoteles | Nivel general y divisiones COICOP | 107.5143 | 1.8 | NA | Pampeana | Abril - 2017
11 | Restaurantes y hoteles | Nivel general y divisiones COICOP | 110.876 | 0.4 | NA | Noreste | Abril - 2017
11 | Restaurantes y hoteles | Nivel general y divisiones COICOP | 107.1572 | 2 | NA | Noroeste | Abril - 2017
11 | Restaurantes y hoteles | Nivel general y divisiones COICOP | 106.7437 | 2.6 | NA | Cuyo | Abril - 2017
11 | Restaurantes y hoteles | Nivel general y divisiones COICOP | 107.6891 | 2.1 | NA | Patagonia | Abril - 2017
04 | Vivienda, agua, electricidad, gas y otros combustibles | Nivel general y divisiones COICOP | 118.0458 | 1.9 | NA | GBA | Mayo - 2017
04 | Vivienda, agua, electricidad, gas y otros combustibles | Nivel general y divisiones COICOP | 117.1786 | 1.2 | NA | Pampeana | Mayo - 2017
04 | Vivienda, agua, electricidad, gas y otros combustibles | Nivel general y divisiones COICOP | 117.776 | 1 | NA | Noreste | Mayo - 2017
04 | Vivienda, agua, electricidad, gas y otros combustibles | Nivel general y divisiones COICOP | 135.6425 | 2.9 | NA | Noroeste | Mayo - 2017
04 | Vivienda, agua, electricidad, gas y otros combustibles | Nivel general y divisiones COICOP | 126.0123 | 2.8 | NA | Cuyo | Mayo - 2017
04 | Vivienda, agua, electricidad, gas y otros combustibles | Nivel general y divisiones COICOP | 123.2025 | 3.2 | NA | Patagonia | Mayo - 2017
06 | Salud | Nivel general y divisiones COICOP | 109.7879 | 1.5 | NA | GBA | Mayo - 2017
06 | Salud | Nivel general y divisiones COICOP | 111.3292 | 1.5 | NA | Pampeana | Mayo - 2017
06 | Salud | Nivel general y divisiones COICOP | 112.6649 | 2.1 | NA | Noreste | Mayo - 2017
06 | Salud | Nivel general y divisiones COICOP | 110.9083 | 1.6 | NA | Noroeste | Mayo - 2017
06 | Salud | Nivel general y divisiones COICOP | 111.5318 | 1.4 | NA | Cuyo | Mayo - 2017
06 | Salud | Nivel general y divisiones COICOP | 112.5553 | 1.7 | NA | Patagonia | Mayo - 2017
07 | Transporte | Nivel general y divisiones COICOP | 106.2149 | 1.1 | NA | GBA | Mayo - 2017
07 | Transporte | Nivel general y divisiones COICOP | 107.2349 | 0.7 | NA | Pampeana | Mayo - 2017
07 | Transporte | Nivel general y divisiones COICOP | 104.8915 | 1.9 | NA | Noreste | Mayo - 2017
07 | Transporte | Nivel general y divisiones COICOP | 108.233 | 1.2 | NA | Noroeste | Mayo - 2017
07 | Transporte | Nivel general y divisiones COICOP | 109.0421 | 0.4 | NA | Cuyo | Mayo - 2017
07 | Transporte | Nivel general y divisiones COICOP | 108.0742 | 0.5 | NA | Patagonia | Mayo - 2017
08 | Comunicación | Nivel general y divisiones COICOP | 118.1821 | 0 | NA | GBA | Mayo - 2017
08 | Comunicación | Nivel general y divisiones COICOP | 119.2354 | 0.9 | NA | Pampeana | Mayo - 2017
08 | Comunicación | Nivel general y divisiones COICOP | 120.4868 | 0.4 | NA | Noreste | Mayo - 2017
08 | Comunicación | Nivel general y divisiones COICOP | 120.8609 | 0.2 | NA | Noroeste | Mayo - 2017
08 | Comunicación | Nivel general y divisiones COICOP | 117.3533 | 0 | NA | Cuyo | Mayo - 2017
08 | Comunicación | Nivel general y divisiones COICOP | 115.391 | 0.1 | NA | Patagonia | Mayo - 2017
09 | Recreación y cultura | Nivel general y divisiones COICOP | 109.3191 | 0.9 | NA | GBA | Mayo - 2017
09 | Recreación y cultura | Nivel general y divisiones COICOP | 107.9732 | -0.2 | NA | Pampeana | Mayo - 2017
09 | Recreación y cultura | Nivel general y divisiones COICOP | 109.7089 | 0.5 | NA | Noreste | Mayo - 2017
09 | Recreación y cultura | Nivel general y divisiones COICOP | 108.8826 | 1.1 | NA | Noroeste | Mayo - 2017
09 | Recreación y cultura | Nivel general y divisiones COICOP | 110.9068 | 2.7 | NA | Cuyo | Mayo - 2017
09 | Recreación y cultura | Nivel general y divisiones COICOP | 112.5688 | 3.3 | NA | Patagonia | Mayo - 2017
10 | Educación | Nivel general y divisiones COICOP | 118.5362 | 1.9 | NA | GBA | Mayo - 2017
10 | Educación | Nivel general y divisiones COICOP | 119.0889 | 1.9 | NA | Pampeana | Mayo - 2017
10 | Educación | Nivel general y divisiones COICOP | 125.2085 | 0 | NA | Noreste | Mayo - 2017
10 | Educación | Nivel general y divisiones COICOP | 133.0204 | 0.9 | NA | Noroeste | Mayo - 2017
10 | Educación | Nivel general y divisiones COICOP | 125.9261 | 2.3 | NA | Cuyo | Mayo - 2017
10 | Educación | Nivel general y divisiones COICOP | 123.8872 | 0.2 | NA | Patagonia | Mayo - 2017
